pressure,weather_conditions,wind_speed,humidity,temperature,wind_direction
1014.0,0,3.0,52.0,291.7,250.0
1013.0,0,3.0,43.0,292.57,250.0
1013.0,0,3.0,37.0,294.09,290.0
1013.0,0,3.0,37.0,294.15,260.0
1013.0,0,3.0,40.0,293.94,260.0
1018.0,0,0.0,78.0,297.02,0.0
1018.0,0,1.0,78.0,296.91,230.0
1019.0,0,0.0,93.0,290.97,0.0
1019.0,0,1.0,82.0,289.87,270.0
1019.0,0,2.0,72.0,292.68,280.0
1019.0,0,2.0,53.0,295.05,290.0
1019.0,0,2.0,47.0,296.68,300.0
1018.0,0,3.0,44.0,297.72,280.0
1016.0,0,2.0,56.0,293.07,190.0
1016.0,0,2.0,64.0,291.59,200.0
1015.0,0,2.0,72.0,290.73,190.0
1015.0,0,3.0,77.0,290.15,190.0
1014.0,0,3.0,77.0,289.66,170.0
1014.0,0,2.0,77.0,289.16,210.0
1013.0,0,2.0,78.0,288.636666667,203.0
1013.0,0,2.0,80.0,288.113333333,196.0
1015.0,0,4.0,51.0,286.58,310.0
1016.0,0,3.0,51.0,285.38,310.0
1016.0,0,3.0,58.0,284.2,310.0
1017.0,0,2.0,66.0,282.65,310.0
1018.0,0,3.0,66.0,282.06,330.0
1017.0,0,0.0,71.0,283.68,0.0
1022.0,0,2.0,87.0,279.21,310.0
1022.0,0,2.0,87.0,278.415,310.0
1025.0,0,0.0,71.0,282.99,0.0
1025.0,0,0.0,66.0,283.68,0.0
1024.0,0,0.0,66.0,283.88,0.0
1025.0,0,0.0,71.0,283.55,0.0
1016.0,0,2.0,43.0,287.28,34.0
1013.0,0,3.0,87.0,288.4,46.0
1013.0,0,3.0,87.0,288.4,46.0
1013.0,0,3.0,87.0,288.4,46.0
1013.0,0,3.0,87.0,288.4,46.0
1013.0,0,3.0,87.0,288.4,46.0
1013.0,0,3.0,87.0,288.4,46.0
1013.0,0,2.0,98.0,285.91,34.0
1013.0,0,4.0,68.0,290.5,264.0
1013.0,0,4.0,68.0,290.5,264.0
1018.0,0,4.0,54.0,282.38,290.0
1018.0,0,4.0,62.0,281.85,290.0
1019.0,0,8.0,50.0,281.69,310.0
1020.0,0,7.0,50.0,281.15,320.0
1024.0,0,3.0,49.0,280.94,300.0
1025.0,0,4.0,46.0,282.53,310.0
1024.0,0,7.0,40.0,283.83,330.0
1025.0,0,4.0,37.0,284.84,310.0
1024.0,0,4.0,35.0,285.71,310.0
1024.0,0,3.0,33.0,286.37,320.0
1023.0,0,2.0,33.0,287.18,260.0
1023.0,0,4.0,36.0,287.75,240.0
1022.0,0,4.0,36.0,287.36,240.0
1022.0,0,4.0,38.0,285.86,220.0
1022.0,0,5.0,41.0,283.1,210.0
1020.0,0,4.0,44.0,283.76,217.0
1018.0,0,4.0,48.0,284.42,224.0
1016.0,0,3.0,51.0,285.08,231.0
1015.0,0,3.0,55.0,285.74,238.0
1013.0,0,3.0,58.0,286.4,245.0
1021.0,0,0.0,75.0,278.6,0.0
1021.0,0,1.0,81.0,277.5,230.0
1021.0,0,0.0,81.0,276.99,0.0
1020.0,0,0.0,93.0,277.07,0.0
1028.0,0,5.0,39.0,280.29,360.0
1030.0,0,5.0,42.0,278.71,10.0
1031.0,0,2.0,45.0,278.1,10.0
1032.0,0,4.0,42.0,276.49,10.0
1032.0,0,3.0,48.0,274.95,350.0
1032.0,0,2.0,56.0,274.06,330.0
1032.0,0,2.0,60.0,273.42,330.0
1033.0,0,3.0,60.0,273.3,340.0
1033.0,0,3.0,64.0,272.83,350.0
1034.0,0,3.0,45.0,281.03,90.0
1018.0,0,5.0,38.0,294.83,220.0
1018.0,0,4.0,38.0,294.82,200.0
1007.0,0,0.0,81.0,282.96,0.0
1011.0,0,3.0,50.0,286.31,320.0
1011.0,0,2.0,41.0,287.64,320.0
1010.0,0,3.0,41.0,288.12,290.0
1010.0,0,3.0,44.0,287.87,290.0
1010.0,0,2.0,44.0,286.59,310.0
1012.0,0,2.0,44.0,283.65,320.0
1012.0,0,2.0,50.0,282.07,270.0
1013.0,0,2.0,54.0,280.96,290.0
1013.0,0,2.0,62.0,280.11,310.0
1014.0,0,3.0,66.0,279.64,320.0
